NAME,Student Population,Number of universities,Region
Wyoming,12397,1,Mountain
Hawaii,17612,1,Oacific
Vermont,20562,5,New England
Delaware,23774,1,South Atlantic
New Hampshire,23867,3,New England
Maine,26330,6,New England
South Dakota,28329,4,West North Central
West Virginia,28406,1,South Atlantic
North Dakota,28764,2,West North Central
Montana,32048,4,Mountain
Arkansas,33878,5,West Sorth Central
Alaska,35690,2,Oacific
New Mexico,43048,4,Mountain
Nevada,52128,2,Mountain
Rhode Island,52811,7,New England
Nebraska,56466,6,West North Central
Mississippi,65404,5,East South Central
Kansas,65495,3,West North Central
Oklahoma,67112,6,West Sorth Central
Connecticut,79634,10,New England
South Carolina,84166,9,South Atlantic
Iowa,98542,13,West North Central
Louisiana,102581,8,West Sorth Central
Idaho,106650,4,Mountain
Oregon,110008,11,Oacific
Wisconsin,117328,13,East North Central
Alabama,122230,8,East South Central
Tennessee,122612,14,East South Central
Kentucky,125035,12,East South Central
Arizona,128629,4,Mountain
Utah,133209,5,Mountain
Maryland,134143,14,South Atlantic
Missouri,143987,13,West North Central
Minnesota,147803,19,West North Central
Colorado,160759,12,Mountain
New Jersey,163780,13,Mid-Atantic
Georgia,181056,14,South Atlantic
Indiana,193006,19,East North Central
Washington,219987,17,South Atlantic
North Carolina,230066,19,South Atlantic
Michigan,243155,17,East North Central
Massachusetts,266287,31,New England
Illinois,278332,25,East North Central
Virginia,281097,20,South Atlantic
Ohio,322880,29,East North Central
Pennsylvania,323615,40,Mid-Atantic
Florida,412801,20,South Atlantic
Texas,543634,25,West Sorth Central
New York,631247,68,Mid-Atantic
California,891593,56,Oacific
